n_id|slug|name|url|image_url|total_perfumes|common_position|first_year|last_year|categories|summary_text|n_id_aliases_p|n_id_primary_name_p
2087|Orchid|Orchid|https://www.parfumo.com/Fragrance_Note/Orchid|https://media.parfumo.com/notes_png/47/47_485f3c4858e950860cb1e09749dd2cdf8812bd70_1200.png|2938|heart|1890|2026|c231;c443|Parfumo knows 2938 perfumes which contain the fragrance note Orchid . It often occurs in in the heart note of a perfume. The fragrance note appeared first in the year 1890 and last in 2026 .||
1192|Orris_root|Orris root|https://www.parfumo.com/Fragrance_Note/Orris_root|https://media.parfumo.com/notes_png/1b/1b_c4b5c7d9f68c3a673c5b4984607c0fe3d8e0fbee_1200.png|2768|heart|1872|2026|c303;c503;c688|Parfumo knows 2768 perfumes which contain the fragrance note Orris root . It often occurs in in the heart note of a perfume. The fragrance note appeared first in the year 1872 and last in 2026 .||
2173|Patchouli|Patchouli|https://www.parfumo.com/Fragrance_Note/Patchouli|https://media.parfumo.com/notes_png/15/15_216f5a044e0c7318aa155a56a5e5ab342d32046e_1200.png|38273|base|1768|2026|c214;c445;c464|Parfumo knows 38273 perfumes which contain the fragrance note Patchouli . It often occurs in the base note of a perfume. The fragrance note appeared first in the year 1768 and last in 2026 .||
2239|Peach|Peach|https://www.parfumo.com/Fragrance_Note/Peach|https://media.parfumo.com/notes_png/0d/0d_1361b5cdfd2ec806c33ec1fbe4c76defc9048990_1200.png|8938|top|1860|2026|c239;c240;c466|Parfumo knows 8938 perfumes which contain the fragrance note Peach . It often occurs in the top note of a perfume. The fragrance note appeared first in the year 1860 and last in 2026 .||
2207|Peru_balsam|Peru balsam|https://www.parfumo.com/Fragrance_Note/Peru_balsam|https://media.parfumo.com/notes_png/85/85_e749c51ee4331418b599a4973586a4b4909e27c8_1200.png|1456|base|1909|2026|c44;c478;c524|Parfumo knows 1456 perfumes which contain the fragrance note Peru balsam . It often occurs in the base note of a perfume. The fragrance note appeared first in the year 1909 and last in 2026 .||
2212|Petitgrain|Petitgrain|https://www.parfumo.com/Fragrance_Note/Petitgrain|https://media.parfumo.com/notes_png/2d/2d_0dba68a979647e1cc02696069ca2c6bafb6de88b_1200.png|3224|top|1768|2026|c141;c479|Parfumo knows 3224 perfumes which contain the fragrance note Petitgrain . It often occurs in the top note of a perfume. The fragrance note appeared first in the year 1768 and last in 2026 .||
2408|Pink_pepper|Pink pepper|https://www.parfumo.com/Fragrance_Note/Pink_pepper|https://media.parfumo.com/notes_png/fb/fb_d8f4a8ec9391c455de9dad870411ddf1bacf074f_1200.png|11499|top|1863|2026|c475;c490;c567|Parfumo knows 11499 perfumes which contain the fragrance note Pink pepper . It often occurs in the top note of a perfume. The fragrance note appeared first in the year 1863 and last in 2026 .||
2258|Plum|Plum|https://www.parfumo.com/Fragrance_Note/Plum|https://media.parfumo.com/notes_png/9d/9d_2a91d2c7601ced0966c75b23f82b58d5771da1b3_1200.png|4142|top|1907|2026|c239;c240;c496|Parfumo knows 4142 perfumes which contain the fragrance note Plum . It often occurs in the top note of a perfume. The fragrance note appeared first in the year 1907 and last in 2026 .||
2461|Red_berries|Red berries|https://www.parfumo.com/Fragrance_Note/Red_berries|https://media.parfumo.com/notes_png/e5/e5_752f7150621f121f5e4222b9425c5d2f008ce777_1200.png|1002|top|1925|2026|c66|Parfumo knows 1002 perfumes which contain the fragrance note Red berries . It often occurs in the top note of a perfume. The fragrance note appeared first in the year 1925 and last in 2026 .||
2381|Rhubarb|Rhubarb|https://www.parfumo.com/Fragrance_Note/Rhubarb|https://media.parfumo.com/notes_png/bf/bf_754d884954c978c763b510962dfd7db3a43daac3_1200.png|1597|top|1822|2026|c240;c527|Parfumo knows 1597 perfumes which contain the fragrance note Rhubarb . It often occurs in the top note of a perfume. The fragrance note appeared first in the year 1822 and last in 2026 .||
